filename	n_seqs	n_bases	min_length	max_length	mean_quality
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5219130_barcode80/FAO12621_pass_barcode80_1505ef04_4.fastq.gz	4000	1356522	125	4603	10.85
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5368697_barcode73/FAO12621_pass_barcode73_1505ef04_0.fastq.gz	4000	1287998	123	1438	10.92
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5368697_barcode73/FAO12621_pass_barcode73_1505ef04_1.fastq.gz	4000	1268942	127	899	10.83
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5290006_barcode29/FAO12621_pass_barcode29_1505ef04_3.fastq.gz	4000	1353025	124	1155	10.82
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5290006_barcode29/FAO12621_pass_barcode29_1505ef04_0.fastq.gz	4000	1346488	129	1182	11.06
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5290006_barcode29/FAO12621_pass_barcode29_1505ef04_2.fastq.gz	4000	1349983	124	994	10.81
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5290006_barcode29/FAO12621_pass_barcode29_1505ef04_6.fastq.gz	4000	1349832	138	1096	10.91
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5290006_barcode29/FAO12621_pass_barcode29_1505ef04_5.fastq.gz	4000	1350610	130	1941	10.88
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5290006_barcode29/FAO12621_pass_barcode29_1505ef04_4.fastq.gz	4000	1346396	131	778	10.88
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5290006_barcode29/FAO12621_pass_barcode29_1505ef04_1.fastq.gz	4000	1346778	133	1201	10.89
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/460057_barcode66/FAO12621_pass_barcode66_1505ef04_1.fastq.gz	4000	1349246	138	1282	10.83
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/460057_barcode66/FAO12621_pass_barcode66_1505ef04_0.fastq.gz	4000	1359113	140	956	10.98
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/460057_barcode66/FAO12621_pass_barcode66_1505ef04_2.fastq.gz	4000	1362555	134	1078	10.78
